Timestamp,Sensor_1_C,Sensor_2_C
2025-09-28 17:10:14,60.00,60.00
2025-09-28 17:10:15,60.06,60.19
2025-09-28 17:10:17,60.25,60.25
2025-09-28 17:10:18,60.25,60.31
2025-09-28 17:10:20,60.31,60.44
2025-09-28 17:10:21,60.56,60.69
2025-09-28 17:10:22,60.69,60.88
2025-09-28 17:10:24,60.88,60.94
2025-09-28 17:10:25,61.00,61.00
2025-09-28 17:10:27,61.06,61.06
2025-09-28 17:10:29,61.19,61.25
2025-09-28 17:10:30,61.31,61.31
2025-09-28 17:10:32,61.31,61.38
2025-09-28 17:10:34,61.63,61.63
2025-09-28 17:10:35,61.81,61.81
2025-09-28 17:10:37,61.94,62.06
2025-09-28 17:10:39,62.13,62.13
2025-09-28 17:10:41,62.25,62.25
2025-09-28 17:10:43,62.44,62.44
2025-09-28 17:10:44,62.56,62.69
2025-09-28 17:10:45,62.69,62.81
2025-09-28 17:10:46,62.81,62.88
2025-09-28 17:10:48,62.88,63.06
2025-09-28 17:10:49,63.06,63.19
2025-09-28 17:10:51,63.19,63.31
2025-09-28 17:10:52,63.44,63.44
2025-09-28 17:10:54,63.56,63.75
2025-09-28 17:10:55,63.75,63.88
2025-09-28 17:10:57,63.94,63.94
2025-09-28 17:10:59,64.00,64.00
2025-09-28 17:11:00,64.19,64.25
2025-09-28 17:11:01,64.31,64.31
2025-09-28 17:11:03,64.37,64.44
2025-09-28 17:11:04,-127.00,64.62
2025-09-28 17:11:05,64.62,-127.00
2025-09-28 17:11:07,64.69,64.75
2025-09-28 17:11:09,64.87,65.00
2025-09-28 17:11:12,65.12,65.19
2025-09-28 17:11:14,65.12,65.06
2025-09-28 17:11:16,65.06,65.00
2025-09-28 17:11:19,65.00,65.00
2025-09-28 17:11:21,65.06,65.12
2025-09-28 17:11:24,65.25,65.37
2025-09-28 17:11:26,65.44,65.50
2025-09-28 17:11:28,65.50,65.50
2025-09-28 17:11:31,65.50,65.50
2025-09-28 17:11:33,65.50,65.44
2025-09-28 17:11:35,65.44,65.44
2025-09-28 17:11:38,65.50,65.56
2025-09-28 17:11:40,65.56,65.69
2025-09-28 17:11:42,65.81,65.94
2025-09-28 17:11:45,66.00,66.06
2025-09-28 17:11:47,66.12,66.19
2025-09-28 17:11:49,66.19,66.25
2025-09-28 17:11:52,66.44,66.50
2025-09-28 17:11:56,66.44,66.44
2025-09-28 17:11:58,66.37,66.37
2025-09-28 17:12:00,66.37,66.37
2025-09-28 17:12:02,66.37,66.50
2025-09-28 17:12:04,66.69,-127.00
2025-09-28 17:12:07,67.44,67.87
2025-09-28 17:12:09,68.25,68.50
2025-09-28 17:12:11,68.56,68.44
2025-09-28 17:12:14,68.25,68.06
2025-09-28 17:12:16,67.94,67.81
2025-09-28 17:12:18,67.75,67.75
2025-09-28 17:12:21,67.81,67.87
2025-09-28 17:12:23,68.00,68.19
2025-09-28 17:12:25,68.44,68.69
2025-09-28 17:12:28,69.00,69.31
2025-09-28 17:12:30,69.62,69.87
2025-09-28 17:12:32,70.06,70.19
2025-09-28 17:12:35,70.25,70.25
2025-09-28 17:12:37,70.25,70.25
2025-09-28 17:12:39,70.06,70.00
